"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
464071,"GMF-Tooling (ARCHIVED)","Runtime","ecore-inbox","UNCONFIRMED"," ---","Command executed via PopupCommand menu in ecore diagram editor does not work","2015-05-04 14:02:30"
438712,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","Runtime assertion from ClipboardUtil.copyElementsToString()","2014-07-02 06:34:25"
440204,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","Wrapping label doesn't work well with auto size","2022-08-14 05:53:28"
464540,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","SemanticEditPolicy.getReorientedRelationshipTargetCommand makes improper assumption regarding tree structure","2015-04-13 14:18:33"
469017,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","org.eclipse.gmf.runtime.draw2d.ui.internal.parts.ThumbnailEx$ThumbnailUpdater.stop() causes SWT error because thumbnailGC is disposed before thumbnailGraphics","2015-06-01 12:41:40"
476054,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","ShapeCompartmentEditPart.ConnectionRefreshMgr does not clip connections between connections","2015-08-31 08:39:33"
476254,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","Image clipped on Mac when saving to PNG, SVG","2015-08-31 13:33:05"
482320,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","DiagramEventBrokerThreadSafe causes deadlocks","2016-09-16 05:10:59"
487648,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","ScaledGraphics does not support setLineDash(float[]) and setLineDashOffset(float)","2016-02-11 05:18:56"
506822,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","org.eclipse.gmf.runtime.diagram.ui.properties could not be download from any mirror sites","2016-11-01 11:31:24"
519664,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","Trivial diagram causes outOfMemory error and blank Print Preview window","2017-07-13 18:50:25"
525434,"GMF-Runtime","General","gmf-runtime-inbox","UNCONFIRMED"," ---","NullPointerException below AbstractEvaluationEnvironment.callOperation (thrown in EClassImpl.isSuperTypeOf)","2017-10-02 04:40:10"
