"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529857,"Texlipse","General","texlipse-inbox","UNCONFIRMED"," ---","Labels invisible when cursor is on them","2018-07-20 05:30:26"
537222,"Texlipse","General","texlipse-inbox","UNCONFIRMED"," ---","Spelling sugestions empty with TeXlipse 2.0.1","2018-07-20 05:27:39"
553263,"Texlipse","General","texlipse-inbox","UNCONFIRMED"," ---","Build in background constantly brings up interactive question popup","2019-11-20 07:20:28"
563418,"Texlipse","General","texlipse-inbox","UNCONFIRMED"," ---","Use Eclipse spelling dicationary","2020-05-20 22:53:47"
567415,"Texlipse","General","texlipse-inbox","UNCONFIRMED"," ---","Texlipse Bibtex editor, Eclipse 2020-9","2020-09-28 11:07:36"
567742,"Texlipse","General","texlipse-inbox","UNCONFIRMED"," ---","BibTex Editor does not open after double click on a bib-file","2020-10-09 04:57:29"
197101,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","[refresh] new filter is shown twice until refreshed","2011-04-06 11:44:05"
238574,"Target Management","Website","ddykstal.eclipse","NEW"," ---","[website] Revamp the TM main website","2011-01-26 00:03:35"
236136,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","NPE in PFFileSystemAnchor.delete while running Unittests on Linux","2011-05-31 17:48:14"
238156,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","Export/Import Connection doesn't create default filters for the specified connection","2012-02-06 09:28:56"
239158,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","[br]new subsystem not displayed with existing connection type","2011-05-31 17:48:50"
265027,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","Hang on startup relating to RSE metadata","2010-05-20 12:06:13"
271432,"Target Management","RSE","mober.at+eclipse","NEW"," ---","[telnet] Telnet to VxWorks 5.5 telnet server does not work","2012-11-19 04:50:03"
196214,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[SSH] Copy or Move a folder to a destination that contains a folder by that name moves the folder under it","2012-11-19 04:57:11"
201438,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[efs] Create Remote Project Action should use New Project Wizard","2008-04-06 18:36:29"
205261,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[ftp] ftp upload gets stuck sometimes, and might even hang the UI","2012-11-19 04:44:57"
215059,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[ssh] NPE when target is restarted between two SSH sessions","2012-11-19 04:56:50"
227207,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[ftp] FTP should support canceling operations even if they are stuck","2012-11-19 04:45:11"
244417,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[ssh] Remote copy fails without notice if only sftp is enabled (but shell access is denied)","2012-11-19 04:56:58"
317944,"Target Management","RSE","tm.rse-inbox","NEW"," ---","[ssh] Files accessed via symbolic links are locally cached and don't get updated on remote change","2011-10-03 05:13:42"
230917,"Target Management","RSE","xuanchen","NEW"," ---","[testing][regression] Some DStore Archive Testcases fail","2017-12-07 03:45:44"
403996,"Target Management","RSE","anna.dushistova","NEW"," ---","RSE - Remote Shell - errors after compile is not red...","2014-07-16 04:32:36"
325547,"Tigerstripe (Archived)","Core","danijoh2","NEW"," ---","Provide Multi-select smart copy","2010-09-30 01:01:25"
398502,"TCF","Agent","dbrachet.wr","NEW"," ---","[Discovery] Peer removal is not reported reliable","2013-10-09 04:35:02"
522519,"TCF","Agent","dbrachet.wr","NEW"," ---","libwebsocket build warnings","2017-09-20 03:12:32"
522522,"TCF","Agent","dbrachet.wr","NEW"," ---","libwebsocket: Unable to connect with an URL length > 2k","2017-09-20 03:40:47"
142184,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","Do not log messages shown as a result of invalid user input","2007-09-17 07:10:51"
159963,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","Customize Table icon in Remote Monitor and Remote System Details is missleading","2007-07-12 08:43:32"
160109,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","Remote System Details view should show additional information in the text line above the table","2007-07-12 08:46:17"
164807,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","[filters] Grouping filters across subsystems","2009-05-20 12:26:09"
169422,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","RSE views are using non Eclipse conform table column sort icons","2010-05-26 23:03:44"
175344,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","[usability] Data in Remote Resource Property Pages doesnt allow Copy&Paste","2011-04-04 08:04:07"
175865,"Target Management","RSE","ddykstal.eclipse","NEW"," ---","[doc] Empty pages navigated from RSE Questions page","2010-05-27 00:34:47"
