"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
445692,"LDT","Metalua","ldt-inbox","UNCONFIRMED"," ---","ast_to_src can't handle unary minus and other things","2014-10-01 12:19:50"
456500,"LDT","Metalua","ldt-inbox","UNCONFIRMED"," ---","metalua reports incorrect line numbers with linebreaks in table.field access","2015-01-01 19:17:54"
461598,"LDT","Metalua","ldt-inbox","UNCONFIRMED"," ---","Optimization of luaU:make_setS()","2015-03-06 10:01:32"
494564,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Code formatting fails at formatting some tables","2016-05-25 11:33:48"
532247,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","parser failure using shorthand method calls using colon","2018-03-09 10:11:41"
533151,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Member functions do not show in Outline View(including Ctrl + O)","2018-04-03 10:53:48"
537517,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Failed start, ""Could not install bundle"". Fresh download of Stable 1.4.1 64-bit Windows. Windows Build 1803","2018-08-12 23:28:36"
546200,"LDT","Metalua","ldt-inbox","UNCONFIRMED"," ---","Global functions  not in IScriptModel when referenced before they are declared","2019-04-08 09:38:57"
546599,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","LDT won't open","2019-04-20 15:49:51"
559347,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","Tilde character combo (Alt Gr + 4 , then space) no longer works in LDT 1.4.2","2020-01-21 00:20:38"
563760,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","LDT Compatibility with Eclipse 2020-03","2020-05-30 13:53:08"
579105,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","windows 64bit LDT  I can't download ...","2022-03-05 12:11:11"
581396,"LDT","LuaDevelopmentTools","ldt-inbox","UNCONFIRMED"," ---","cannot download LDT","2023-01-22 08:18:46"
582809,"LDT","General","ldt-inbox","UNCONFIRMED"," ---","Software Update","2024-01-03 09:40:39"
397176,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","m2e-wtp doesn't seem to respect maven war plugin's <webResources> configuration element","2020-06-03 18:46:26"
401852,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","maven generates dummy code","2020-06-03 18:54:36"
403669,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","maven-war-plugin do not pick-up all the resources specified from initial build","2013-03-18 14:53:51"
405209,"M2E-WTP","jsf","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Maven/JSF/XML/XSD uses infinite timeout for network downloads causing hard lockup","2014-10-21 01:44:28"
405559,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Error in regenerate org.eclipse.wst.common.component","2013-11-07 11:29:57"
417150,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","classpath incomplete when classifier used","2013-09-13 08:55:06"
417217,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---"," @*@ tokens not being filtered","2013-09-13 14:37:00"
420624,"M2E-WTP","overlay","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Support Ctrl+Click on URIs for web overlays","2013-10-29 09:38:37"
424199,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Maven Update Project removes Maven Dependencies","2013-12-18 17:11:29"
425053,"M2E-WTP","jpa","m2e-wtp.core-inbox","UNCONFIRMED"," ---","persistence.xml with filter var - error: cannot be resolved","2015-08-26 23:18:26"
434497,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","M2E-WTP not API compatible with maven-ear-plugin org.apache.maven.plugin.ear.output.FileNameMapping","2014-05-09 09:04:25"
447716,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Missing pom.xml/pom.propeties from deployed jar projects","2015-11-02 06:36:40"
452123,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Generated MANIFEST.MF line ending not using workspace default","2014-11-19 04:11:45"
