"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
464493,"Viatra","Transformation","lunk.peter","UNCONFIRMED"," ---","Reduce the amount of rule generic boilerplate code in rule action definitions","2016-08-18 10:04:27"
529519,"uDig","General","udig-inbox","UNCONFIRMED"," ---","Leaked JDBC connection during feature copy command","2018-01-08 07:14:25"
536390,"uDig","General","udig-inbox","UNCONFIRMED"," ---","TableView sorting and selection does not work as expected","2018-06-28 03:07:35"
545759,"USSSDK","General","usssdk-inbox","UNCONFIRMED"," ---","Support other proxy schemes","2019-04-05 10:10:48"
525445,"Viatra","Addons","viatra-inbox","UNCONFIRMED"," ---","[Databinding] Observables based on BaseIndex feature and instance listeners","2017-10-04 05:15:12"
547031,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Provide a GT-like transformation for CPS Demonstrator","2021-09-07 08:02:58"
561296,"Viatra","Common","viatra-inbox","UNCONFIRMED"," ---","Query Results View - Order patterns based on ordering in VQL file","2020-03-20 08:03:30"
562471,"Viatra","Addons","viatra-inbox","UNCONFIRMED"," ---","A line break in the @Constraint annotation's message argument breaks the generated pattern code","2020-10-15 05:57:18"
565103,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Differential dataflow engine not mentioned in documentation","2020-07-10 02:45:08"
566195,"Viatra","Examples","viatra-inbox","UNCONFIRMED"," ---","Mention that patterns can be imported","2020-08-19 10:28:33"
578240,"Viatra","Addons","viatra-inbox","UNCONFIRMED"," ---","In ViatraQueryTest builder the actual and expected values can be accidentally mixed up","2022-01-17 05:14:09"
579638,"Viatra","Common","viatra-inbox","UNCONFIRMED"," ---","Erroneous code generation when using single parameter pattern with java Object.","2022-04-08 11:13:27"
541567,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Pattern shows a false warning for EObject in neg find","2018-11-28 05:23:41"
547015,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Set dangling edge assumption to false","2019-05-20 15:29:08"
561652,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","False positive validation error on untyped query parameters","2020-04-03 11:56:33"
561745,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Tooling resolves supertypes incorrectly in some cases","2020-04-06 08:34:53"
564405,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Pattern with Custom Aggregator can not be loaded into Query Results View","2020-08-20 04:25:16"
564426,"Viatra","Query","viatra-query","UNCONFIRMED"," ---","Query with Set can be evaluated with Query Results but generated code does not compile","2020-12-07 12:56:05"
