"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
478515,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","[editors] NPE in CS2ASConversion.garbageCollect","2015-09-28 06:25:40"
478953,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","[pivot] IllegalStateException in CompletePackageImpl.getCompleteModel (516)","2015-10-03 09:57:17"
480609,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","FileNotFoundException below ExportValidationResultsFileWizard$1.run (90)","2015-10-26 02:58:48"
484060,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","Executing query ""ClassName.allInstances()"" on InstanceSpecifications in Pivot","2016-01-13 05:53:38"
522291,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","Parser requires iterations to have exactly one body","2017-09-14 07:53:26"
522708,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","IllegalArgumentException in ValuesFactoryImpl.create","2017-09-25 05:30:08"
532591,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","FileNotFoundException below OCLVMExecutor.loadExpression (thrown in FileInputStream.open0)","2018-03-24 04:13:57"
534230,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","OCLDelegateException in OCLSettingDelegate.get","2018-05-01 05:24:48"
539906,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","NullPointerException in CompleteEnvironmentImpl.conformsTo","2018-10-08 03:51:38"
565648,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","OCLSettingDelegate.get does not resolve proxies despite resolve argument","2020-07-29 15:36:18"
571198,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","Static profile issue with subsetted properties or derived union properties","2021-03-10 11:00:35"
581468,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","Error executing EValidator java.lang.NullPointerException: Cannot invoke ""org.eclipse.emf.common.notify.Adapter.isAdapterForType(Object)"" because ""adapter"" is null","2023-02-02 01:03:16"
582342,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","Collection::exists does not detect non Boolean lambda parameter","2023-08-29 19:08:52"
582343,"OCL","Core","mdt-ocl-inbox","UNCONFIRMED"," ---","[ValidityView] Debug selection gets lost when there are multiple OCL files","2023-08-29 20:32:10"
389141,"NatTable","Core","nattable.core-inbox","UNCONFIRMED"," ---","SWT Event Handling Design Issues","2012-09-10 03:45:21"
491573,"NatTable","GlazedLists Extension","nattable.core-inbox","UNCONFIRMED"," ---","Introduce a ConfigAttribute for TextSearchStrategy.Factory and check that in the DefaultGlazedListsFilterStrategy","2016-04-13 05:13:27"
511104,"NatTable","Nebula Extension","nattable.core-inbox","UNCONFIRMED"," ---","[RichText] Support follow the link when using RichTextRender","2017-05-11 01:19:40"
526905,"NatTable","Core","nattable.core-inbox","UNCONFIRMED"," ---","The row header layer does not convert row position to row index","2017-11-06 12:43:36"
566632,"NatTable","Core","nattable.core-inbox","UNCONFIRMED"," ---","ComboBoxCellEditor: Option to focus Filterbox when showing Dropdown Control","2020-09-03 10:29:21"
570525,"NatTable","Core","nattable.core-inbox","UNCONFIRMED"," ---","Let NatTable#refresh and NatTable#refresh(boolean) return boolean","2021-01-21 03:09:17"
572680,"NatTable","E4 Extension","nattable.core-inbox","UNCONFIRMED"," ---","[CSS] Styling wrongly applied","2021-04-14 00:11:59"
582552,"NatTable","Core","nattable.core-inbox","UNCONFIRMED"," ---","Ctrl + Keybinding for Zoom In does not work","2023-10-20 11:38:57"
550447,"OGEE (Archived)","Core","ogee.core-inbox","UNCONFIRMED"," ---","Property m:HasStream not generated","2019-08-26 09:21:34"
469912,"OGEE (Archived)","UI","ogee.ui-inbox","UNCONFIRMED"," ---","Creating Associations using Palette tool very difficult","2015-06-19 05:49:00"
498436,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Location of OSGi interfaces","2016-07-26 17:13:27"
518275,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Obix Operation Object doesn't support input parameter","2017-06-14 21:01:01"
518620,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Implement and enhance Announcement feature","2017-06-22 05:41:03"
519476,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Wrong mapping in org.eclipse.om2m.commons.entities.LabelEntity class","2017-07-10 16:22:09"
521154,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Group resource: empty member IDs must be  allowed","2017-08-19 18:35:45"
522098,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Undetermined order of contentInstances when adding them fast","2017-09-10 13:19:39"
527022,"OM2M","Samples","om2m-inbox","UNCONFIRMED"," ---","Build project in eclipse","2019-06-18 11:39:31"
527649,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Use DTO instead of JAXB","2017-11-22 21:44:31"
527914,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Remotecse with HTTPS only POA","2017-11-29 07:29:58"
528939,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Cache problem when deleting containers (and possible solution)","2017-12-19 05:40:07"
530085,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","After step: Select “org.eclipse.om2m” package and right click. Select “Run as -> maven install”.","2019-06-18 11:36:18"
530736,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","""la"" does not return the latest content instance","2018-02-05 09:02:21"
530993,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Notification mime media type is hard-coded","2018-02-10 11:59:36"
534069,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Unable to create ACR(AccessControlRuleEntity) entity when changing to MySQL DB","2018-04-25 22:09:21"
535438,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","NullpointerException when sending CoAP message to IN-CSE","2018-06-01 04:13:26"
539650,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","<group> and <subscription> failure when using mongodb","2018-09-29 17:35:35"
544131,"OM2M","New Features","om2m-inbox","UNCONFIRMED"," ---","Implementation of the semantic functionalities described in oneM2M's technical specification as of rel. 2.","2019-02-05 12:08:24"
544738,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Automatically fill <node> resource's hostedAELinks attribute","2019-02-23 17:09:35"
545142,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","Version OM2M-DEV-20112018: Indirect deleting a subscription does not send a deletion notification","2019-03-06 13:24:57"
553431,"OM2M","Platform","om2m-inbox","UNCONFIRMED"," ---","notification content has incorrect format","2019-11-25 11:50:28"
464234,"Oomph","Dynamic Working Sets","oomph-inbox","UNCONFIRMED"," ---","Allow to define workingsets based on plugins included in a feature","2016-07-06 11:17:09"
472007,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Simple mode missed proxy configuration","2016-07-06 11:09:41"
474466,"Oomph","Project Configuration","oomph-inbox","UNCONFIRMED"," ---","Add possibility to unbind keys/commands","2021-12-07 08:54:22"
477697,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Allow perspective settings to be provisioned","2016-07-06 11:14:22"
485050,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","NullPointerException in VariablePage.leavePage","2021-05-04 07:10:21"
487626,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Support headless mode for the installer","2022-08-06 22:11:33"
491532,"Oomph","Docs","oomph-inbox","UNCONFIRMED"," ---","Update Projects Page from the import wizard with corresponding picture","2016-07-06 11:10:35"
509227,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Eclipse not listening to Preference Task for showing target platform status","2016-12-21 03:23:46"
525128,"Oomph","Docs","oomph-inbox","UNCONFIRMED"," ---","Broken link to undocumented org.eclipse.oomph.resources","2017-09-26 04:58:05"
527920,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Attribute to force overwrite of preference in setup task","2020-11-23 07:04:51"
562273,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Permanent location on C drive without Administrator","2020-11-06 04:21:39"
565253,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Issue opening eclipse+installer URL on Kubuntu","2020-07-17 03:12:37"
569947,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Clearing existing keys with KeyBindingTask in Oomph user setup?","2020-12-31 03:49:42"
579688,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Resizing the window is really slow","2022-04-13 17:55:59"
579689,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Oomph doesn't respect system dark theme","2022-04-14 01:20:36"
581684,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","eclipse.ini has http:// URL for oomph.redirection.index.redirection","2023-03-18 17:20:35"
581931,"Oomph","Targlets","oomph-inbox","UNCONFIRMED"," ---","Generated target file missing plugin units","2023-05-11 09:26:52"
582201,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Oomph suffers from many UI problems on Wayland","2023-08-30 07:37:42"
570185,"openj9","General","openj9-inbox","UNCONFIRMED"," ---","memory not released by GC as expected","2021-01-07 22:51:14"
514839,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","Problem downloading source code","2017-04-06 06:27:24"
514840,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","Issue setting up openPASS: Setup Qt","2017-04-06 06:46:37"
530851,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","Algorithm_TrajectoryFollower_Implementation::Init() tireCoefficent typo","2018-02-07 11:03:57"
531370,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","Agent*Importer::Import(): replace returned nullptr by false","2018-02-20 04:54:28"
531371,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","DOS/Unix line ending style of source files","2018-02-20 04:51:21"
531372,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","Linux compatibility","2018-02-20 05:01:02"
531374,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","CoreShare/log.h: 64bit compatibility","2018-02-20 05:15:43"
531388,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","openPass_GUI: invalid use of non-static member function StartSimulation in ModelPcm.cpp","2018-02-20 07:41:08"
531658,"Openpass","General","openpass-inbox","UNCONFIRMED"," ---","OpenDRIVE SceneryImporter objects, signals and road marks","2018-02-26 04:25:51"
