centroid,data_point,distance
214068,214069,1.0
214069,214068,1.0
214178,214187,0.9270063962344781
214187,214178,0.9270063962344781
214231,214232,0.9351243636581519
214232,214231,0.9351243636581519
214232,214233,0.9011543705937332
214233,214232,0.9011543705937332
214301,214303,0.9743398514279588
214301,214304,0.989078464403585
214301,214305,0.9960525303218254
214301,214306,0.9960199421416621
214301,214701,0.9832293894851135
214296,214297,0.91290294398268
214297,214296,0.91290294398268
214303,214301,0.9743398514279588
214303,214304,0.9645382323064934
214303,214305,0.9839941742644451
214303,214306,0.9838527361516191
214303,214701,0.9606569701694159
214304,214301,0.989078464403585
214304,214303,0.9645382323064934
214304,214305,0.9880514139816542
214304,214306,0.9880340275727655
214304,214701,0.9732534315798773
214305,214301,0.9960525303218254
214305,214303,0.9839941742644451
214305,214304,0.9880514139816542
214305,214306,0.9997991008085844
214305,214701,0.9823776426677859
214306,214301,0.9960199421416621
214306,214303,0.9838527361516191
214306,214304,0.9880340275727655
214306,214305,0.9997991008085844
214306,214701,0.9823603560983445
214377,214950,0.9135227352822146
214377,215014,0.9023427828505163
214415,214950,0.9148179815853766
214496,214497,1.0000000000000002
214496,214498,1.0000000000000002
214496,214500,1.0000000000000002
214496,214501,1.0000000000000002
214496,214504,1.0000000000000002
214497,214496,1.0000000000000002
214497,214498,1.0000000000000002
214497,214500,1.0000000000000002
214497,214501,1.0000000000000002
214497,214504,1.0000000000000002
214498,214496,1.0000000000000002
214498,214497,1.0000000000000002
214498,214500,1.0000000000000002
214498,214501,1.0000000000000002
214498,214504,1.0000000000000002
214500,214496,1.0000000000000002
214500,214497,1.0000000000000002
214500,214498,1.0000000000000002
214500,214501,1.0000000000000002
214500,214504,1.0000000000000002
214501,214496,1.0000000000000002
214501,214497,1.0000000000000002
214501,214498,1.0000000000000002
214501,214500,1.0000000000000002
214501,214504,1.0000000000000002
214504,214496,1.0000000000000002
214504,214497,1.0000000000000002
214504,214498,1.0000000000000002
214504,214500,1.0000000000000002
214504,214501,1.0000000000000002
214578,214580,0.9798141508716723
214580,214578,0.9798141508716723
214701,214301,0.9832293894851135
214701,214303,0.9606569701694159
214701,214304,0.9732534315798773
214701,214305,0.9823776426677859
214701,214306,0.9823603560983445
214733,214950,0.9199564037356031
214934,214935,1.0000000000000002
214934,214936,1.0000000000000002
214935,214934,1.0000000000000002
214935,214936,1.0000000000000002
214936,214934,1.0000000000000002
214936,214935,1.0000000000000002
214950,214377,0.9135227352822146
214950,214415,0.9148179815853766
214950,214733,0.9199564037356031
214988,214989,1.0000000000000004
214988,214990,1.0000000000000004
214988,214991,1.0000000000000004
214988,215040,1.0000000000000004
214989,214988,1.0000000000000004
214989,214990,1.0000000000000004
214989,214991,1.0000000000000004
214989,215040,1.0000000000000004
214990,214988,1.0000000000000004
214990,214989,1.0000000000000004
214990,214991,1.0000000000000004
214990,215040,1.0000000000000004
214991,214988,1.0000000000000004
214991,214989,1.0000000000000004
214991,214990,1.0000000000000004
214991,215040,1.0000000000000004
215014,214377,0.9023427828505163
215041,215042,0.9426132967303512
215040,214988,1.0000000000000004
215040,214989,1.0000000000000004
215040,214990,1.0000000000000004
215040,214991,1.0000000000000004
215042,215041,0.9426132967303512
